ano,mes,estado,preco_medio
2024,6,MG,99.16
2024,6,MS,108.80
2024,6,MT,117.00
2024,6,PA,109.39
2024,6,PB,99.87
2024,6,PE,91.31
2024,6,PI,97.26
2024,6,PR,98.13
2024,6,RJ,94.12
2024,6,RN,103.82
2024,6,RO,120.02
2024,6,RR,127.48
2024,6,RS,106.37
2024,6,SC,113.11
2024,6,SE,97.17
2024,6,SP,99.42
2024,6,TO,120.12
2024,7,AC,116.81
2024,7,AL,96.57
2024,7,AM,121.14
2024,7,AP,114.78
2024,7,BA,109.27
2024,7,CE,100.92
2024,7,DF,97.11
2024,7,ES,94.99
2024,7,GO,101.72
2024,7,MA,100.80
2024,7,MG,100.30
2024,7,MS,108.60
2024,7,MT,109.09
2024,7,PA,108.85
2024,7,PB,96.31
2024,7,PE,91.68
2024,7,PI,98.05
2024,7,PR,99.89
2024,7,RJ,94.13
2024,7,RN,101.00
2024,7,RO,113.63
2024,7,RR,130.36
2024,7,RS,104.25
2024,7,SC,111.91
2024,7,SE,99.03
2024,7,SP,103.30
2024,7,TO,122.21
2024,8,AC,119.06
2024,8,AL,97.21
2024,8,AM,121.97
2024,8,AP,116.41
2024,8,BA,110.56
2024,8,CE,102.05
2024,8,DF,97.38
2024,8,ES,95.86
2024,8,GO,102.54
2024,8,MA,101.62
2024,8,MG,101.77
2024,8,MS,107.70
2024,8,MT,109.99
2024,8,PA,107.71
2024,8,PB,97.37
2024,8,PE,92.02
2024,8,PI,98.61
2024,8,PR,100.37
2024,8,RJ,94.20
2024,8,RN,102.64
2024,8,RO,116.20
2024,8,RR,131.81
2024,8,RS,104.48
2024,8,SC,113.63
2024,8,SE,101.70
2024,8,SP,104.06
2024,8,TO,124.52
2024,9,AC,120.90
2024,9,AL,100.04
2024,9,AM,122.62
2024,9,AP,120.91
2024,9,BA,117.33
2024,9,CE,105.22
2024,9,DF,100.72
2024,9,ES,97.29
2024,9,GO,105.06
2024,9,MA,107.43
2024,9,MG,103.96
2024,9,MS,109.13
2024,9,MT,113.95
2024,9,PA,109.18
2024,9,PB,100.96
2024,9,PE,93.78
2024,9,PI,103.27
2024,9,PR,103.95
2024,9,RJ,97.02
2024,9,RN,100.77
2024,9,RO,116.63
2024,9,RR,132.76
2024,9,RS,107.19
2024,9,SC,116.66
2024,9,SE,103.51
2024,9,SP,107.26
2024,9,TO,125.04
2024,10,AC,121.10
2024,10,AL,100.13
2024,10,AM,123.73
2024,10,AP,121.32
2024,10,BA,113.16
2024,10,CE,104.52
2024,10,DF,101.35
2024,10,ES,97.15
2024,10,GO,106.99
2024,10,MA,109.42
2024,10,MG,105.18
2024,10,MS,109.60
2024,10,MT,114.89
2024,10,PA,111.10
2024,10,PB,105.05
2024,10,PE,94.39
2024,10,PI,104.61
2024,10,PR,104.12
2024,10,RJ,96.74
2024,10,RN,102.59
2024,10,RO,118.34
2024,10,RR,133.22
2024,10,RS,108.03
2024,10,SC,118.17
